Datum;Beschreibung;Typ;Total;Zürich_Ja;Zürich_Nein;Ticino_Ja;Ticino_Nein;Französische_Schweiz;Alpen_und_Voralpen;Westmittelland;Ostmittelland;Italienische_Schweiz;Alter_15-29;Alter_30-59;Alter_60++;Alter_15-64;Alter_65++;Männlich;Weiblich;Städtisch;Ländlich;D-CH;W-CH;I-CH
24.02.2020;Distanz;Median;24415.4;23446.8;24985.2;15788.4;24906.8;24846.9;24102.7;22849.2;26960.1;15592.3;28001.5;26231.5;15462.8;26251.5;13527;26509.3;21777.9;19029.6;32395.2;24918.1;24846.9;15592.3
24.02.2020;Radius;Median;7461.2;7273.1;7524;5197.7;7689.2;7522.5;7301.3;6942.6;8792;5114.7;9009.6;8163.7;4586.6;8295.1;3886.7;7980;7131.5;5851.4;9952.8;7726.3;7522.5;5114.7
25.02.2020;Distanz;Mean;53190.9;38537.3;56922.9;36630.8;53910.9;44190.4;52839.3;81691.4;41595.8;36630.8;72957.2;50973.6;36830.5;55955.4;29367.4;54725.3;51338;56556.4;48552.7;57125.3;44190.4;36630.8
25.02.2020;Radius;Mean;15863.9;15075.7;16064.6;14359.3;15929.3;15666.2;15129.3;16801.7;16014.1;14359.3;15613.1;16629.1;13315.4;16458.6;10738.7;17550.1;13827.6;14650;17536.8;16016.3;15666.2;14359.3
25.02.2020;Distanz;Median;22773.5;21114;23330.2;18953.5;23265;25223.2;19297.9;23893.8;25251.5;18953.5;24826;24542.8;16739.7;24819.9;11860.8;26859.3;19241.6;18225.9;29861.6;22840.6;25223.2;18953.5
25.02.2020;Radius;Median;7380.1;7578;7344;6359.1;7527.7;7055.8;6297.2;7527.7;8521;6359.1;8678.6;8094.5;5138.2;8261.8;3447.6;8521;6421.5;5662.7;9772.6;7614.9;7055.8;6359.1
26.02.2020;Distanz;Mean;41712.2;40316.6;42067.8;32758.9;42078.1;40831.8;43678.5;42127.1;41975.5;32758.9;42180.6;44405.7;30913.8;43261;28255.9;47399;34862.7;38225.5;46440;42493.4;40831.8;32758.9
26.02.2020;Radius;Mean;15732.2;15491;15793.7;14091.2;15799.3;15257.5;16519.5;15375;16070.3;14091.2;16049.3;16766.5;11406.3;16356.2;10311.4;17858.9;13170.9;15064.5;16637.7;15979.8;15257.5;14091.2
26.02.2020;Distanz;Median;21539;23320.5;21155.4;14609.1;22041.4;20243.8;22040.6;19913.1;24950.5;14609.1;24720.2;23689.9;11969.7;23580.8;10302.7;25057.4;18568.1;16903.6;29515.5;22770;20243.8;14609.1
26.02.2020;Radius;Median;7009.6;7808.3;6809.5;4262.6;7219.4;6389.3;7162.9;6533.7;8229.2;4262.6;7953.6;7762.7;3608.3;7700;3056.4;8080.9;5883.1;5329.6;9443.8;7477.5;6389.3;4262.6
27.02.2020;Distanz;Mean;48761.2;43657.1;50030.6;47048.2;48842.6;50732.4;44105;54047.9;46437.7;46691.8;53370;46372.1;51799.7;50693.7;31821.3;55706.5;40250.6;46075.5;52406.2;48229.8;50732.4;46691.8
27.02.2020;Radius;Mean;16870.6;17747.6;16652.5;12518.8;17077.5;16508.1;17207.6;15936.4;18363.3;12425.1;17211.6;17561.2;13796.8;17407.6;12163.4;18178.2;15268.2;16219.2;17754.7;17277.7;16508.1;12425.1
27.02.2020;Distanz;Median;23780.9;26215.3;22922.4;16713.9;24418.3;21353.1;23531.8;21173.6;29552.7;16476.7;27685.5;25167.1;16727.7;25875.6;13668.8;27262.7;20340.5;19847;31030.7;25854.2;21353.1;16476.7
27.02.2020;Radius;Median;7575.5;9035.7;7326.3;4851.8;7888.9;6577.7;7567;7077.6;9790.1;4716.7;8442.6;8221.5;5112.1;8300.9;4251.8;8693.1;6669.4;5991.6;9915.1;8300.9;6577.7;4716.7
28.02.2020;Distanz;Mean;48001;51474.4;47167.5;40183.5;48338.7;48784.3;46596.6;46066.3;50972.3;39821.5;56458.2;46862.9;41361.8;49237;37595.4;51855.8;43223.1;44801.4;52275.5;48215;48784.3;39821.5
28.02.2020;Radius;Mean;19262.9;21501.1;18725.8;20476.7;19210.5;19735.5;18164.4;17317;20981.3;20292.2;25653.7;18107.5;15342.1;19858.6;14247.8;20631.9;17566.1;18555;20208.6;19044.9;19735.5;20292.2
28.02.2020;Distanz;Median;27271.4;27367.4;27165.6;19464.8;27669.6;28679.6;22822.3;25679.9;31725.3;19241.4;34084.8;27601.5;19767.6;28871.6;17307.2;28956.5;24623.5;21984.3;34386.6;27333.2;28679.6;19241.4
28.02.2020;Radius;Median;8326.7;8701.4;8233.9;5908;8500.9;8454.5;7143.4;7663.7;9895.4;5894.1;11171.3;8486.8;5453;8956.5;4805.6;9047.2;7278.4;6208.3;11103;8519.4;8454.5;5894.1
29.02.2020;Distanz;Mean;48380.7;53765.1;47059.3;33363.5;49050;43414.2;64805.2;41470.2;48976.9;33363.5;61409.9;45324.4;43202.9;50796.3;28555.8;50369.7;45998.3;44031.5;54196.8;50953.1;43414.2;33363.5
